split,method,episodes,sequential_success,sequential_success_ci95,immediate_success,future_success,combined_energy_mean,combined_energy_ci95,affordance_debt_mean,future_support_margin_mean,balance_failure_rate
combined_shift,affordance_debt_mpc,60,0.7333,0.1128,0.9333,0.8000,0.3063,0.0257,0.0335,0.0744,0.0000
combined_shift,arm_only_reach,60,0.7000,0.1169,0.8500,0.8500,0.3221,0.0275,0.0000,0.0859,0.0000
combined_shift,comfort_regularized_mpc,60,0.7333,0.1128,0.9333,0.8000,0.3063,0.0256,0.0000,0.0744,0.0000
combined_shift,greedy_reach_mpc,60,0.7333,0.1128,0.9333,0.8000,0.3075,0.0253,0.0000,0.0736,0.0000
combined_shift,oracle_two_step_mpc,60,0.7667,0.1079,0.9333,0.8333,0.3015,0.0255,0.0000,0.0752,0.0000
combined_shift,random_posture,60,0.6333,0.1230,0.7833,0.8333,0.3789,0.0433,0.0000,0.0773,0.0000
combined_shift,robust_balance_mpc,60,0.7333,0.1128,0.9333,0.8000,0.3068,0.0255,0.0000,0.0746,0.0000
high_reach,affordance_debt_mpc,60,0.9667,0.0458,0.9833,0.9833,0.2625,0.0215,0.0189,0.1256,0.0000
high_reach,arm_only_reach,60,0.9500,0.0556,0.9667,0.9833,0.2668,0.0212,0.0000,0.1253,0.0000
high_reach,comfort_regularized_mpc,60,0.9667,0.0458,0.9833,0.9833,0.2623,0.0216,0.0000,0.1256,0.0000
high_reach,greedy_reach_mpc,60,0.9667,0.0458,0.9833,0.9833,0.2624,0.0216,0.0000,0.1252,0.0000
high_reach,oracle_two_step_mpc,60,0.9667,0.0458,0.9667,1.0000,0.2611,0.0215,0.0000,0.1261,0.0000
high_reach,random_posture,60,0.8000,0.1021,0.8000,1.0000,0.3236,0.0311,0.0000,0.1204,0.0000
high_reach,robust_balance_mpc,60,0.9667,0.0458,0.9833,0.9833,0.2623,0.0216,0.0000,0.1256,0.0000
lateral_reach,affordance_debt_mpc,60,0.4000,0.1250,0.5667,0.5500,0.4560,0.0328,0.0327,0.1258,0.0000
lateral_reach,arm_only_reach,60,0.3333,0.1203,0.4667,0.5500,0.4751,0.0338,0.0000,0.1257,0.0000
lateral_reach,comfort_regularized_mpc,60,0.4000,0.1250,0.5667,0.5500,0.4565,0.0330,0.0000,0.1256,0.0000
lateral_reach,greedy_reach_mpc,60,0.4000,0.1250,0.5667,0.5500,0.4574,0.0330,0.0000,0.1262,0.0000
lateral_reach,oracle_two_step_mpc,60,0.4167,0.1258,0.5667,0.5667,0.4543,0.0329,0.0000,0.1253,0.0000
lateral_reach,random_posture,60,0.2833,0.1150,0.3833,0.5500,0.5272,0.0449,0.0000,0.1195,0.0000
lateral_reach,robust_balance_mpc,60,0.4000,0.1250,0.5667,0.5500,0.4565,0.0330,0.0000,0.1256,0.0000
narrow_support,affordance_debt_mpc,60,0.4833,0.1275,0.7667,0.6500,0.4163,0.0200,0.0319,0.0942,0.0000
narrow_support,arm_only_reach,60,0.4667,0.1273,0.7500,0.6333,0.4242,0.0197,0.0000,0.0959,0.0000
narrow_support,comfort_regularized_mpc,60,0.4833,0.1275,0.7667,0.6500,0.4163,0.0200,0.0000,0.0942,0.0000
narrow_support,greedy_reach_mpc,60,0.4833,0.1275,0.7667,0.6500,0.4163,0.0200,0.0000,0.0942,0.0000
narrow_support,oracle_two_step_mpc,60,0.4833,0.1275,0.7500,0.6500,0.4158,0.0200,0.0000,0.0936,0.0000
narrow_support,random_posture,60,0.3667,0.1230,0.6000,0.6500,0.4680,0.0255,0.0000,0.0908,0.0000
narrow_support,robust_balance_mpc,60,0.4833,0.1275,0.7667,0.6500,0.4163,0.0200,0.0000,0.0942,0.0000
nominal,affordance_debt_mpc,60,0.4667,0.1273,0.6667,0.7167,0.4221,0.0241,0.0271,0.1408,0.0000
nominal,arm_only_reach,60,0.4333,0.1264,0.6167,0.7333,0.4238,0.0237,0.0000,0.1404,0.0000
nominal,comfort_regularized_mpc,60,0.4667,0.1273,0.6667,0.7167,0.4222,0.0241,0.0000,0.1408,0.0000
nominal,greedy_reach_mpc,60,0.4667,0.1273,0.6667,0.7167,0.4225,0.0241,0.0000,0.1408,0.0000
nominal,oracle_two_step_mpc,60,0.4833,0.1275,0.6667,0.7333,0.4218,0.0240,0.0000,0.1421,0.0000
nominal,random_posture,60,0.2667,0.1128,0.3167,0.7167,0.5134,0.0339,0.0000,0.1352,0.0000
nominal,robust_balance_mpc,60,0.4667,0.1273,0.6667,0.7167,0.4222,0.0241,0.0000,0.1408,0.0000
payload_shift,affordance_debt_mpc,60,0.4833,0.1275,0.7333,0.6333,0.4025,0.0295,0.0314,0.1154,0.0000
payload_shift,arm_only_reach,60,0.4500,0.1269,0.6833,0.6333,0.4062,0.0293,0.0000,0.1164,0.0000
payload_shift,comfort_regularized_mpc,60,0.4833,0.1275,0.7333,0.6333,0.4025,0.0295,0.0000,0.1154,0.0000
payload_shift,greedy_reach_mpc,60,0.4833,0.1275,0.7333,0.6333,0.4029,0.0295,0.0000,0.1146,0.0000
payload_shift,oracle_two_step_mpc,60,0.4667,0.1273,0.7167,0.6333,0.4012,0.0295,0.0000,0.1152,0.0000
payload_shift,random_posture,60,0.3000,0.1169,0.5333,0.6167,0.4482,0.0367,0.0000,0.1127,0.0000
payload_shift,robust_balance_mpc,60,0.4833,0.1275,0.7333,0.6333,0.4028,0.0294,0.0000,0.1152,0.0000
weak_actuation,affordance_debt_mpc,60,0.5000,0.1276,0.6667,0.7167,0.3880,0.0266,0.0275,0.1256,0.0000
weak_actuation,arm_only_reach,60,0.5000,0.1276,0.6667,0.7333,0.3921,0.0260,0.0000,0.1245,0.0000
weak_actuation,comfort_regularized_mpc,60,0.5000,0.1276,0.6667,0.7167,0.3882,0.0266,0.0000,0.1257,0.0000
weak_actuation,greedy_reach_mpc,60,0.5000,0.1276,0.6667,0.7167,0.3884,0.0266,0.0000,0.1254,0.0000
weak_actuation,oracle_two_step_mpc,60,0.5000,0.1276,0.6667,0.7500,0.3856,0.0266,0.0000,0.1269,0.0000
weak_actuation,random_posture,60,0.3500,0.1217,0.5333,0.7167,0.4451,0.0321,0.0000,0.1186,0.0000
weak_actuation,robust_balance_mpc,60,0.5000,0.1276,0.6667,0.7167,0.3882,0.0266,0.0000,0.1257,0.0000
